"","hhid14","commid14","sc01_14_14","sc02_14_14","sc03_14_14","year","asset","natrep","natdis","assistance","assistance.x","wealth","wealth.0","asset.lag","asset.ihs","asset.ihs.lag","wealth.lag","asset.ihs.delta","natrep.0","natrep.1","natdis.0","natdis.1","assistance.prop.ihs"
"106","0040500","1204",12,6,71,2014,106500000,0,0,0,0,3,4,6777450,19.1768027236737,16.4222586635362,1,2.75454406013753,0,0,0,0,0
"107","0040700","1204",12,6,71,2007,0,0,0,0,0,1,3,68679050,0,18.7381019421922,3,-18.7381019421922,0,0,0,0,0
"108","0040700","1204",12,6,71,2014,31670000,0,0,0,0,2,3,0,17.9640275990748,0,1,17.9640275990748,0,0,0,0,0
"109","0040731","1204",12,6,71,2007,481952,0,0,0,0,1,2,17080800,13.7787469835726,17.3466127641953,2,-3.56786578062266,0,0,0,0,0
"110","0040731","1204",12,6,71,2014,2.9e+07,0,0,0,0,2,2,481952,17.8759535685107,13.7787469835726,1,4.0972065849381,0,0,0,0,0
"111","0040900","1204",12,6,71,2007,75756830,0,0,0,0,3,4,73108670.8,18.8361863438656,18.8006047138408,4,0.0355816300248222,0,0,0,0,0
"112","0040900","1204",12,6,71,2014,2365000,0,0,0,0,1,4,75756830,15.3694357604682,18.8361863438656,3,-3.46675058339742,0,0,0,0,0
"113","0041000","1204",12,6,71,2007,11529195.5,0,0,0,0,1,1,3031842,16.9535402958695,15.6178280941286,1,1.33571220174092,0,0,0,0,0
"114","0041000","1204",12,6,71,2014,31600000,0,0,0,0,2,1,11529195.5,17.9618148591171,16.9535402958695,1,1.00827456324755,0,0,0,0,0
"115","0041021","1204",12,6,71,2007,1506100,0,0,0,0,1,1,1793484,14.91818126676,15.0928178353707,1,-0.174636568610721,0,0,0,0,0
"116","0041021","1204",12,6,71,2014,31900000,0,0,0,0,2,1,1506100,17.971263748315,14.91818126676,1,3.05308248155502,0,0,0,0,0
"117","0041031","1204",12,6,71,2007,52713500,0,0,0,0,3,2,15515060,18.4735293282493,17.2504689036424,2,1.22306042460695,0,0,0,0,0
"118","0041031","1204",12,6,71,2014,82280000,0,0,0,0,3,2,52713500,18.918785803309,18.4735293282493,3,0.445256475059676,0,0,0,0,0
"119","0041300","1204",12,6,71,2007,173352110,0,0,0,0,4,5,280125120,19.6639825824877,20.1438940990254,5,-0.479911516537683,0,0,0,0,0
"120","0041300","1204",12,6,71,2014,1232500000,0,0,0,0,5,5,173352110,21.6254576444411,19.6639825824877,4,1.96147506195334,0,0,0,0,0
"121","0041400","1204",12,6,71,2007,112957.5,0,0,0,0,1,4,116377184,12.3279141013337,19.2654942408626,4,-6.937580139529,0,0,0,0,0
"122","0041400","1204",12,6,71,2014,32870000,0,0,0,0,2,4,112957.5,18.0012181262003,12.3279141013337,1,5.6733040248667,0,0,0,0,0
"123","0041500","1204",12,6,71,2007,83212025,0,0,0,0,3,3,43242892,18.9300496071577,18.2754906115749,3,0.654558995582867,0,0,0,0,0
"124","0041500","1204",12,6,71,2014,383900000,0,0,0,0,4,3,83212025,20.459039840531,18.9300496071577,3,1.52899023337322,0,0,0,0,0
"125","0041600","1204",12,6,71,2007,106360782,0,0,0,0,4,3,37862440,19.1754946572601,18.1426173301949,3,1.03287732706522,0,0,0,0,0
